ProductUniqeName,FirstName,LastName,MiddleName,BirthDate,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
BK-R50B-62336,Janelle,Lopez,G,1979-06-15,SO43700,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-07-01 00:00:00.000,2005-07-13 00:00:00.000,2005-07-08 00:00:00.000
BK-M82S-44,Kristen,Chen,L,1936-08-05,SO43701,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-01 00:00:00.000,2005-07-13 00:00:00.000,2005-07-08 00:00:00.000
BK-R93R-62,Christian,Jackson,L,1956-12-03,SO43703,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-02 00:00:00.000,2005-07-14 00:00:00.000,2005-07-09 00:00:00.000
BK-M82B-48,Meghan,Ortega,E,1960-08-16,SO43704,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-07-02 00:00:00.000,2005-07-14 00:00:00.000,2005-07-09 00:00:00.000
BK-M82S-38,Henry,Lopez,M,1975-07-13,SO43705,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-02 00:00:00.000,2005-07-14 00:00:00.000,2005-07-09 00:00:00.000
BK-R93R-52,Arthur,Subram,E,1974-12-27,SO43709,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-03 00:00:00.000,2005-07-15 00:00:00.000,2005-07-10 00:00:00.000
BK-R93R-56,Charles,Murphy,M,1959-05-12,SO43710,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-03 00:00:00.000,2005-07-15 00:00:00.000,2005-07-10 00:00:00.000
BK-R93R-44,Adrienne,Jiménez,L,1976-08-13,SO43712,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-04 00:00:00.000,2005-07-16 00:00:00.000,2005-07-11 00:00:00.000
BK-R93R-44,Diana,Alonso,L,1974-01-04,SO43714,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-05 00:00:00.000,2005-07-17 00:00:00.000,2005-07-12 00:00:00.000
BK-R93R-44,Jade,Stewart,D,1966-04-24,SO43716,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-05 00:00:00.000,2005-07-17 00:00:00.000,2005-07-12 00:00:00.000
BK-R93R-44,Brooke,Brooks,P,1977-08-15,SO43720,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-06 00:00:00.000,2005-07-18 00:00:00.000,2005-07-13 00:00:00.000
BK-R93R-62,Laura,Zhao,T,1975-06-11,SO43721,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-06 00:00:00.000,2005-07-18 00:00:00.000,2005-07-13 00:00:00.000
BK-R93R-48,Wesley,Zhao,M,1947-08-10,SO43722,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-07 00:00:00.000,2005-07-19 00:00:00.000,2005-07-14 00:00:00.000
BK-R50B-58332,Margaret,Sun,L,1976-12-23,SO43723,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-07-07 00:00:00.000,2005-07-19 00:00:00.000,2005-07-14 00:00:00.000
BK-R93R-44,Alejandro,Li,A,1959-04-03,SO43724,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-07 00:00:00.000,2005-07-19 00:00:00.000,2005-07-14 00:00:00.000
BK-R50B-58332,Troy,Sanchez,H,1980-09-10,SO43726,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-07-08 00:00:00.000,2005-07-20 00:00:00.000,2005-07-15 00:00:00.000
BK-R93R-44,Courtney,Edwards,A,1957-05-27,SO43727,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-08 00:00:00.000,2005-07-20 00:00:00.000,2005-07-15 00:00:00.000
BK-M82S-44,Angel,Morris,C,1970-04-05,SO43729,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-09 00:00:00.000,2005-07-21 00:00:00.000,2005-07-16 00:00:00.000
BK-M82B-44,Samuel,Chen,D,1977-02-11,SO43732,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-07-09 00:00:00.000,2005-07-21 00:00:00.000,2005-07-16 00:00:00.000
BK-R93R-62,Gabriel,Foster,G,1973-10-19,SO43735,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-10 00:00:00.000,2005-07-22 00:00:00.000,2005-07-17 00:00:00.000
BK-M82S-44,Gregory,Chander,J,1957-10-21,SO43736,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-10 00:00:00.000,2005-07-22 00:00:00.000,2005-07-17 00:00:00.000
BK-R93R-44,Blake,Perry,D,1977-03-09,SO43737,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-11 00:00:00.000,2005-07-23 00:00:00.000,2005-07-18 00:00:00.000
BK-R93R-48,Derrick,Schmidt,R,1970-03-05,SO43738,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-11 00:00:00.000,2005-07-23 00:00:00.000,2005-07-18 00:00:00.000
BK-R93R-48,Ramon,Ma,D,1974-12-10,SO43740,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-11 00:00:00.000,2005-07-23 00:00:00.000,2005-07-18 00:00:00.000
BK-R93R-56,Arturo,Zhu,M,1949-04-15,SO43742,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-12 00:00:00.000,2005-07-24 00:00:00.000,2005-07-19 00:00:00.000
BK-R93R-52,Xavier,Coleman,A,1963-10-25,SO43744,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-12 00:00:00.000,2005-07-24 00:00:00.000,2005-07-19 00:00:00.000
BK-R93R-44,Cara,Zheng,L,1957-01-15,SO43745,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-13 00:00:00.000,2005-07-25 00:00:00.000,2005-07-20 00:00:00.000
BK-R93R-48,Maria,Henderson,E,1965-04-02,SO43746,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-13 00:00:00.000,2005-07-25 00:00:00.000,2005-07-20 00:00:00.000
BK-R93R-44,Oscar,Hughes,B,1959-10-04,SO43750,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-14 00:00:00.000,2005-07-26 00:00:00.000,2005-07-21 00:00:00.000
BK-R93R-52,Jon,Becker,G,1958-04-10,SO43751,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-14 00:00:00.000,2005-07-26 00:00:00.000,2005-07-21 00:00:00.000
BK-R93R-44,Richard,Long,A,1977-10-28,SO43752,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-14 00:00:00.000,2005-07-26 00:00:00.000,2005-07-21 00:00:00.000
BK-R93R-62,Oscar,Gonzales,H,1977-05-27,SO43753,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-14 00:00:00.000,2005-07-26 00:00:00.000,2005-07-21 00:00:00.000
BK-M82B-44,Terrence,Andersen,E,1980-10-22,SO43757,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-07-15 00:00:00.000,2005-07-27 00:00:00.000,2005-07-22 00:00:00.000
BK-R93R-56,Jenny,Liang,S,1974-08-06,SO43760,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-16 00:00:00.000,2005-07-28 00:00:00.000,2005-07-23 00:00:00.000
BK-R93R-62,Clayton,Lin,M,1952-01-26,SO43761,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-16 00:00:00.000,2005-07-28 00:00:00.000,2005-07-23 00:00:00.000
BK-R93R-52,Denise,Suri,C,1974-11-11,SO43763,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-17 00:00:00.000,2005-07-29 00:00:00.000,2005-07-24 00:00:00.000
BK-R93R-62,Jack,Edwards,W,1956-12-03,SO43764,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-17 00:00:00.000,2005-07-29 00:00:00.000,2005-07-24 00:00:00.000
BK-R93R-52,Jessie,Xu,R,1959-05-05,SO43766,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-18 00:00:00.000,2005-07-30 00:00:00.000,2005-07-25 00:00:00.000
BK-R93R-48,Kayla,Martin,E,1974-03-20,SO43772,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-19 00:00:00.000,2005-07-31 00:00:00.000,2005-07-26 00:00:00.000
BK-R93R-56,Ariana,Sanders,K,1974-06-14,SO43773,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-19 00:00:00.000,2005-07-31 00:00:00.000,2005-07-26 00:00:00.000
